P_id,start_time,end_time,mean_GSR,std_GSR,mean_HR,std_HR,mean_Valence,std_Valence,median_Valence,mean_Arousal,std_Arousal,median_Arousal,videoID,change_score,Valence,Arousal,Index
1,1.69582E+12,1.69582E+12,524.94,1.331,219.14,0.756,7.93,0,7.93,7.13,0,7.13,6,3.602457114,1,1,159
1,1.69582E+12,1.69582E+12,528.84,1.184,219.04,0.727,7.93,0,7.93,7.13,0,7.13,6,5.301164424,1,1,160
1,1.69582E+12,1.69582E+12,532.34,1.239,218.94,0.767,7.8,0.184,7.8,6.87,0,6.87,6,3.931831464,1,1,161
1,1.69582E+12,1.69582E+12,535.08,0.944,218.96,0.727,7.67,0,7.67,6.6,0,6.6,6,4.856458465,1,1,162
1,1.69582E+12,1.69582E+12,538,0.881,218.98,0.769,7.67,0,7.67,7,0.184,7,6,3.874029232,1,1,163
1,1.69582E+12,1.69582E+12,540.8,1.245,218.66,0.772,7.67,0,7.67,7,0.184,7,6,3.073955784,1,1,164
1,1.69582E+12,1.69582E+12,543.4,1.05,218.7,0.647,7.997,0.135,7.93,7.732,0.253,7.8,6,4.230663217,1,1,165
1,1.69582E+12,1.69582E+12,545.66,1.002,218.78,0.737,7.997,0.135,7.93,7.732,0.253,7.8,6,3.560855069,1,1,166
1,1.69582E+12,1.69582E+12,547.7,1.015,218.64,0.693,8.2,0,8.2,6.467,0.808,6.465,6,2.964794945,1,1,167
1,1.69582E+12,1.69582E+12,549.7,0.886,218.8,0.728,8,0.254,8.065,6.003,0.135,6.07,6,3.086907741,1,1,168
1,1.69582E+12,1.69582E+12,551.02,0.714,218.76,0.625,8,0.254,8.065,6.003,0.135,6.07,6,2.974607719,1,1,169
1,1.69582E+12,1.69582E+12,552.22,0.996,218.7,0.839,8,0.254,8.065,6.003,0.135,6.07,6,2.854577634,1,1,170
1,1.69582E+12,1.69582E+12,553.02,0.845,218.64,0.693,7.67,0,7.67,6.33,0,6.33,6,2.104345491,1,1,171
1,1.69582E+12,1.69582E+12,553.86,0.857,218.44,0.705,7.67,0,7.67,6.735,0.191,6.735,6,2.066280178,1,1,172
1,1.69582E+12,1.69582E+12,554.66,0.772,218.7,0.763,7.93,0,7.93,6.87,0,6.87,6,0.822590964,1,1,173
1,1.69582E+12,1.69582E+12,555.7,0.735,218.48,0.735,7.67,0,7.67,6.87,0,6.87,6,1.932292428,1,1,174
1,1.69582E+12,1.69582E+12,556.62,0.855,218.72,0.701,7.67,0,7.67,7.13,0,7.13,6,1.792949857,1,1,175
1,1.69582E+12,1.69582E+12,557.92,0.778,218.62,0.667,7.535,0.191,7.535,6.87,0,6.87,6,1.654386057,1,1,176
1,1.69582E+12,1.69582E+12,558.58,0.758,218.58,0.642,7.535,0.191,7.535,6.87,0,6.87,6,0.359425478,1,1,177
1,1.69582E+12,1.69582E+12,559.44,0.787,218.8,0.728,7.667,0.265,7.67,7.13,0,7.13,6,1.35030587,1,1,178
1,1.69582E+12,1.69582E+12,560.48,0.646,218.78,0.764,8.4,0.254,8.335,7.332,0.135,7.4,6,2.16393026,1,1,179
1,1.69582E+12,1.69582E+12,560.88,0.746,218.62,0.667,8.73,0,8.73,7.8,0.184,7.8,6,0.578988172,1,1,180
1,1.69582E+12,1.69582E+12,561.8,0.833,218.66,0.717,8.73,0,8.73,7.8,0.184,7.8,6,2.041296741,1,1,181
1,1.69582E+12,1.69582E+12,528.72,3.363,213.62,0.805,5,0,5,5,0,5,7,3.200881558,0,0,182
1,1.69582E+12,1.69582E+12,532.66,1.547,213.66,0.688,4.155,0.392,4.065,5.09,0.139,5,7,3.200881558,0,1,183
1,1.69582E+12,1.69582E+12,532.42,0.758,213.66,0.717,4.11,0.156,4.2,5.357,0.15,5.27,7,0.525638731,0,1,184
1,1.69582E+12,1.69582E+12,534.5,0.953,213.7,0.814,4.47,0,4.47,5.665,0.191,5.665,7,4.314558099,0,1,185
1,1.69582E+12,1.69582E+12,536.04,0.832,213.84,0.766,4.668,0.253,4.6,5.335,0.13,5.27,7,3.359643261,0,1,186
1,1.69582E+12,1.69582E+12,536.52,1.147,213.78,0.764,4.668,0.253,4.6,5.335,0.13,5.27,7,0.355246325,0,1,187
1,1.69582E+12,1.69582E+12,535.54,0.813,213.8,0.67,5,0,5,5,0,5,7,1.581439447,0,0,188
1,1.69582E+12,1.69582E+12,536.92,0.634,213.84,0.766,4.73,0,4.73,5,0,5,7,4.331299,0,0,189
1,1.69582E+12,1.69582E+12,538.66,0.745,213.8,0.728,4.73,0,4.73,5.27,0,5.27,7,3.05499088,0,1,190
1,1.69582E+12,1.69582E+12,540,0.969,213.92,0.853,4.73,0,4.73,5.53,0,5.53,7,2.409733281,0,1,191
1,1.69582E+12,1.69582E+12,541.64,0.802,213.78,0.679,4.73,0,4.73,5.53,0,5.53,7,4.130760597,0,1,192
1,1.69582E+12,1.69582E+12,543.14,0.833,213.92,0.724,4.73,0,4.73,5.8,0,5.8,7,4.187329046,0,1,193
1,1.69582E+12,1.69582E+12,544.56,0.76,214.02,0.714,4.146,0.226,4.2,6.014,0.222,6.07,7,3.139260949,0,1,194
1,1.69582E+12,1.69582E+12,545.74,0.694,214.04,0.669,3.93,0,3.93,6.6,0,6.6,7,3.363597124,0,1,195
1,1.69582E+12,1.69582E+12,546.44,0.884,213.64,0.722,3.93,0,3.93,6.6,0,6.6,7,2.654317009,0,1,196
1,1.69582E+12,1.69582E+12,547.36,0.802,213.8,0.728,3.67,0,3.67,7,0.184,7,7,0.533549592,0,1,197
